source_page,source_domain,dead_destination,dead_destination_domain,recommended_replacement_slug,replacement_domain,recommendation_type,confidence_score,reason,apply_round
/guide/jeonse/jeonse-partial-deposit-return-response,jeonse,/guide/jeonse/jeonse-deposit-not-returned-response,jeonse,jeonse-partial-deposit-return-response,jeonse,replace,0.816,"sim 0.81, needs review",hold_low_confidence
/guide/divorce/divorce-inheritance-property-division-scope,divorce,/guide/divorce/divorce-property-division-contribution,divorce,divorce-property-division-inheritance,divorce,replace,0.827,"sim 0.83, needs review",hold_low_confidence
/guide/divorce/divorce-inheritance-property-division-scope,divorce,/guide/divorce/divorce-consensual-documents,divorce,divorce-consensual-no-custody-agreement-blocked,divorce,replace_low,0.75,"sim 0.69, needs review",hold_low_confidence
/guide/divorce/divorce-inheritance-property-division-scope,divorce,/guide/divorce/divorce-property-claim-limitation,divorce,divorce-property-division-inheritance,divorce,replace_low,0.75,"sim 0.69, needs review",hold_low_confidence
/guide/divorce/divorce-inheritance-property-division-scope,divorce,/guide/divorce/divorce-separate-property-distinction,divorce,divorce-elderly-property-division,divorce,replace,0.777,"sim 0.74, needs review",hold_low_confidence
/guide/divorce/divorce-foreign-spouse-procedure-jurisdiction,divorce,/guide/divorce/divorce-consensual-procedure,divorce,divorce-consensual-intent-withdrawal-procedure,divorce,replace,0.788,"sim 0.76, needs review",hold_low_confidence
/guide/divorce/divorce-foreign-spouse-procedure-jurisdiction,divorce,/guide/divorce/divorce-judicial-grounds-6items,divorce,divorce-asset-disposal-grounds,divorce,replace_low,0.733,"sim 0.66, needs review",hold_low_confidence
/guide/divorce/divorce-foreign-spouse-procedure-jurisdiction,divorce,/guide/divorce/divorce-public-service-procedure,divorce,divorce-public-servant-pension-split,divorce,replace_low,0.728,"sim 0.65, needs review",hold_low_confidence
/guide/divorce/divorce-foreign-spouse-procedure-jurisdiction,divorce,/guide/divorce/divorce-foreign-spouse-visa,divorce,divorce-foreign-spouse-visa-issue,divorce,replace,0.865,"replace + sim≥0.85 + repl_exists + priority, conf=0.86",round1_replace_high_confidence
/guide/divorce/divorce-foreign-spouse-procedure-jurisdiction,divorce,/guide/divorce/divorce-family-registry-update,divorce,divorce-false-adultery-accusation,divorce,replace_low,0.7,"sim 0.60, needs review",hold_low_confidence
/guide/divorce/divorce-pet-custody-dispute-ruling,divorce,/guide/divorce/divorce-property-division-scope,divorce,divorce-property-division-scope-faq,divorce,replace,0.887,"replace + sim≥0.85 + repl_exists + priority, conf=0.89",round1_replace_high_confidence
/guide/divorce/divorce-pet-custody-dispute-ruling,divorce,/guide/divorce/divorce-consensual-agreement-clauses,divorce,divorce-consensual-no-custody-agreement-blocked,divorce,replace,0.782,"sim 0.75, needs review",hold_low_confidence
/guide/divorce/divorce-pet-custody-dispute-ruling,divorce,/guide/divorce/divorce-child-custody-visitation,divorce,divorce-step-child-custody-claim,divorce,replace,0.766,"sim 0.72, needs review",hold_low_confidence
/guide/divorce/divorce-pet-custody-dispute-ruling,divorce,/guide/divorce/divorce-alimony-calculation,divorce,divorce-alimony-calculation-standard,divorce,replace,0.843,"replace + sim≥0.85 + repl_exists + priority, conf=0.84",round1_replace_high_confidence
/guide/divorce/divorce-pet-custody-dispute-ruling,divorce,/guide/divorce/divorce-mediation-vs-litigation,divorce,divorce-mediation-vs-trial-strategy,divorce,replace,0.788,"sim 0.76, needs review",hold_low_confidence
/guide/divorce/divorce-mental-abuse-evidence-collection,divorce,/guide/divorce/divorce-judicial-grounds-6items,divorce,divorce-asset-disposal-grounds,divorce,replace_low,0.733,"sim 0.66, needs review",hold_low_confidence
/guide/divorce/divorce-mental-abuse-evidence-collection,divorce,/guide/divorce/divorce-protection-order-procedure,divorce,divorce-domestic-violence-victim-protection-order-procedure,divorce,replace,0.772,"sim 0.73, needs review",hold_low_confidence
/guide/divorce/divorce-mental-abuse-evidence-collection,divorce,/guide/divorce/divorce-alimony-evidence-collection,divorce,divorce-alimony-affair-evidence-collection-trial,divorce,replace,0.832,"replace + sim≥0.85 + repl_exists + priority, conf=0.83",round1_replace_high_confidence
/guide/divorce/divorce-mental-abuse-evidence-collection,divorce,/guide/divorce/divorce-separation-before-procedure,divorce,divorce-international-marriage-procedure,divorce,replace,0.782,"sim 0.75, needs review",hold_low_confidence
/guide/dismissal/dismissal-cctv-surveillance-excessive-termination,dismissal,/guide/dismissal/dismissal-privacy-violation-defense,dismissal,dismissal-health-reason-defense,dismissal,replace_low,0.739,"sim 0.67, needs review",hold_low_confidence
/guide/dismissal/dismissal-cctv-surveillance-excessive-termination,dismissal,/guide/dismissal/dismissal-written-notice-requirement,dismissal,dismissal-part-time-unfair,dismissal,replace_low,0.728,"sim 0.65, needs review",hold_low_confidence
/guide/dismissal/dismissal-cctv-surveillance-excessive-termination,dismissal,/guide/dismissal/dismissal-disciplinary-excess-defense,dismissal,dismissal-disciplinary-excessive,dismissal,replace,0.849,"replace + sim≥0.85 + repl_exists + priority, conf=0.85",round1_replace_high_confidence
/guide/dismissal/dismissal-cctv-surveillance-excessive-termination,dismissal,/guide/dismissal/dismissal-unemployment-benefit-apply,dismissal,dismissal-under-five-employees-relief-paths,dismissal,replace_low,0.706,"sim 0.61, needs review",hold_low_confidence
/guide/dismissal/dismissal-company-merger-position-elimination,dismissal,/guide/dismissal/dismissal-managerial-requirements,dismissal,dismissal-maternity-return-fired,dismissal,replace_low,0.744,"sim 0.68, needs review",hold_low_confidence
/guide/dismissal/dismissal-company-merger-position-elimination,dismissal,/guide/dismissal/dismissal-business-transfer-succession,dismissal,dismissal-business-transfer-employment-succession-refused,dismissal,replace,0.81,"sim 0.80, needs review",hold_low_confidence
/guide/dismissal/dismissal-company-merger-position-elimination,dismissal,/guide/dismissal/dismissal-voluntary-coerced-remedy,dismissal,dismissal-retirement-age-remedy,dismissal,replace_low,0.728,"sim 0.65, needs review",hold_low_confidence
/guide/dismissal/dismissal-whistleblower-retaliation-protection,dismissal,/guide/dismissal/dismissal-retaliatory-transfer-defense,dismissal,dismissal-low-performance-defense,dismissal,replace_low,0.744,"sim 0.68, needs review",hold_low_confidence
/guide/dismissal/dismissal-whistleblower-retaliation-protection,dismissal,/guide/dismissal/dismissal-whistleblower-status-protection,dismissal,dismissal-whistleblower-retaliation-protection,dismissal,replace,0.849,"replace + sim≥0.85 + repl_exists + priority, conf=0.85",round1_replace_high_confidence
/guide/dismissal/dismissal-whistleblower-retaliation-protection,dismissal,/guide/dismissal/dismissal-written-notice-requirement,dismissal,dismissal-part-time-unfair,dismissal,replace_low,0.728,"sim 0.65, needs review",hold_low_confidence
/guide/dismissal/dismissal-social-media-private-post-fired,dismissal,/guide/dismissal/dismissal-disciplinary-excess-defense,dismissal,dismissal-disciplinary-excessive,dismissal,replace,0.849,"replace + sim≥0.85 + repl_exists + priority, conf=0.85",round1_replace_high_confidence
/guide/dismissal/dismissal-social-media-private-post-fired,dismissal,/guide/dismissal/dismissal-privacy-violation-defense,dismissal,dismissal-health-reason-defense,dismissal,replace_low,0.739,"sim 0.67, needs review",hold_low_confidence
/guide/dismissal/dismissal-social-media-private-post-fired,dismissal,/guide/dismissal/dismissal-written-notice-requirement,dismissal,dismissal-part-time-unfair,dismissal,replace_low,0.728,"sim 0.65, needs review",hold_low_confidence
/guide/dismissal/dismissal-customer-complaint-single-incident-fire,dismissal,/guide/dismissal/dismissal-disciplinary-excess-defense,dismissal,dismissal-disciplinary-excessive,dismissal,replace,0.849,"replace + sim≥0.85 + repl_exists + priority, conf=0.85",round1_replace_high_confidence
/guide/dismissal/dismissal-customer-complaint-single-incident-fire,dismissal,/guide/dismissal/dismissal-emotional-labor-protection,dismissal,dismissal-pregnancy-protection,dismissal,replace,0.772,"sim 0.73, needs review",hold_low_confidence
/guide/dismissal/dismissal-customer-complaint-single-incident-fire,dismissal,/guide/dismissal/dismissal-written-notice-requirement,dismissal,dismissal-part-time-unfair,dismissal,replace_low,0.728,"sim 0.65, needs review",hold_low_confidence
/guide/wage/wage-team-dinner-mandatory-payment,wage,/guide/wage/wage-overtime-pay-claim-procedure,wage,wage-overtime-unpaid-claim,wage,replace,0.782,"sim 0.75, needs review",hold_low_confidence
/guide/wage/wage-team-dinner-mandatory-payment,wage,/guide/wage/wage-working-hours-scope-check,wage,wage-work-injury-hospitalization-pay-scope,wage,replace_low,0.689,"sim 0.58, needs review",hold_low_confidence
/guide/wage/wage-team-dinner-mandatory-payment,wage,/guide/wage/wage-night-holiday-pay-calc,wage,wage-holiday-special-pay-claim,wage,replace_low,0.739,"sim 0.67, needs review",hold_low_confidence
/guide/wage/wage-team-dinner-mandatory-payment,wage,/guide/wage/wage-unpaid-complaint-procedure,wage,wage-pogual-lawsuit-procedure,wage,replace,0.772,"sim 0.73, needs review",hold_low_confidence
/guide/wage/wage-team-dinner-mandatory-payment,wage,/guide/wage/wage-ordinary-average-difference,wage,wage-ordinary-wage-bonus-included,wage,replace_low,0.744,"sim 0.68, needs review",hold_low_confidence
/guide/wage/wage-uniform-cost-deducted-illegal,wage,/guide/wage/wage-deduction-legality-check,wage,wage-attendance-incentive-deduction-illegal-track,wage,replace_low,0.695,"sim 0.59, needs review",hold_low_confidence
/guide/wage/wage-uniform-cost-deducted-illegal,wage,/guide/wage/wage-paystub-missing-complaint,wage,wage-pogual-payslip-missing-penalty,wage,replace_low,0.728,"sim 0.65, needs review",hold_low_confidence
/guide/wage/wage-uniform-cost-deducted-illegal,wage,/guide/wage/wage-unpaid-complaint-procedure,wage,wage-pogual-lawsuit-procedure,wage,replace,0.772,"sim 0.73, needs review",hold_low_confidence
/guide/wage/wage-uniform-cost-deducted-illegal,wage,/guide/wage/wage-ordinary-average-difference,wage,wage-ordinary-wage-bonus-included,wage,replace_low,0.744,"sim 0.68, needs review",hold_low_confidence
/guide/wage/wage-uniform-cost-deducted-illegal,wage,/guide/wage/wage-overtime-pay-claim-procedure,wage,wage-overtime-unpaid-claim,wage,replace,0.782,"sim 0.75, needs review",hold_low_confidence
/guide/wage/wage-training-period-unpaid-legal,wage,/guide/wage/wage-probation-minimum-calc,wage,unpaid-wage-probation-minimum-wage-violation,wage,replace,0.755,"sim 0.70, needs review",hold_low_confidence
/guide/wage/wage-training-period-unpaid-legal,wage,/guide/wage/wage-working-hours-scope-check,wage,wage-work-injury-hospitalization-pay-scope,wage,replace_low,0.689,"sim 0.58, needs review",hold_low_confidence
/guide/wage/wage-training-period-unpaid-legal,wage,/guide/wage/wage-unpaid-complaint-procedure,wage,wage-pogual-lawsuit-procedure,wage,replace,0.772,"sim 0.73, needs review",hold_low_confidence
/guide/wage/wage-training-period-unpaid-legal,wage,/guide/wage/wage-paystub-missing-complaint,wage,wage-pogual-payslip-missing-penalty,wage,replace_low,0.728,"sim 0.65, needs review",hold_low_confidence
/guide/wage/wage-training-period-unpaid-legal,wage,/guide/wage/wage-overtime-pay-claim-procedure,wage,wage-overtime-unpaid-claim,wage,replace,0.782,"sim 0.75, needs review",hold_low_confidence
/guide/retirement/retirement-small-company-no-fund-claim,retirement,/guide/retirement/retirement-calculation-method,retirement,retirement-pay-calculation,retirement,replace,0.81,"sim 0.80, needs review",hold_low_confidence
/guide/retirement/retirement-small-company-no-fund-claim,retirement,/guide/retirement/retirement-substitute-payment-procedure,retirement,retirement-business-closure-substitute-payment,retirement,replace_low,0.744,"sim 0.68, needs review",hold_low_confidence
/guide/retirement/retirement-small-company-no-fund-claim,retirement,/guide/retirement/retirement-split-payment-invalid,retirement,retirement-installment-payment-invalid,retirement,replace,0.843,"replace + sim≥0.85 + repl_exists + priority, conf=0.84",round1_replace_high_confidence
/guide/retirement/retirement-small-company-no-fund-claim,retirement,/guide/retirement/retirement-average-wage-standard,retirement,retirement-average-wage-dispute,retirement,replace,0.827,"sim 0.83, needs review",hold_low_confidence
/guide/retirement/retirement-small-company-no-fund-claim,retirement,/guide/retirement/retirement-claim-certified-mail,retirement,retirement-pay-claim-where-to-start,retirement,replace_low,0.739,"sim 0.67, needs review",hold_low_confidence
/guide/retirement/retirement-promotion-salary-average-calc,retirement,/guide/retirement/retirement-average-wage-standard,retirement,retirement-average-wage-dispute,retirement,replace,0.827,"sim 0.83, needs review",hold_low_confidence
/guide/retirement/retirement-promotion-salary-average-calc,retirement,/guide/retirement/retirement-ordinary-wage-scope,retirement,retirement-average-wage-dispute,retirement,replace,0.766,"sim 0.72, needs review",hold_low_confidence
/guide/retirement/retirement-promotion-salary-average-calc,retirement,/guide/retirement/retirement-calculation-method,retirement,retirement-pay-calculation,retirement,replace,0.81,"sim 0.80, needs review",hold_low_confidence
/guide/retirement/retirement-promotion-salary-average-calc,retirement,/guide/retirement/retirement-bonus-calculation,retirement,retirement-bonus-included-calculation,retirement,replace,0.843,"replace + sim≥0.85 + repl_exists + priority, conf=0.84",round1_replace_high_confidence
/guide/retirement/retirement-promotion-salary-average-calc,retirement,/guide/retirement/retirement-recalculation-claim,retirement,retirement-recalculation-wrong-amount,retirement,replace,0.816,"sim 0.81, needs review",hold_low_confidence
/guide/unemployment/unemployment-contract-non-renewal-eligibility,unemployment,/guide/unemployment/unemployment-separation-cert-correction,unemployment,unemployment-separation-code-recommendation-to-voluntary-correction,unemployment,replace,0.777,"sim 0.74, needs review",hold_low_confidence
/guide/unemployment/unemployment-contract-non-renewal-eligibility,unemployment,/guide/unemployment/unemployment-qualifying-days-calc,unemployment,unemployment-waiting-7days,unemployment,replace,0.799,"sim 0.78, needs review",hold_low_confidence
/guide/unemployment/unemployment-contract-non-renewal-eligibility,unemployment,/guide/unemployment/unemployment-fixed-term-eligibility,unemployment,unemployment-foreign-worker-eligibility,unemployment,replace,0.816,"sim 0.81, needs review",hold_low_confidence
/guide/unemployment/unemployment-contract-non-renewal-eligibility,unemployment,/guide/unemployment/unemployment-application-procedure,unemployment,unemployment-late-application-rescue,unemployment,replace,0.794,"sim 0.77, needs review",hold_low_confidence
/guide/unemployment/unemployment-contract-non-renewal-eligibility,unemployment,/guide/unemployment/unemployment-fraud-recovery-defense,unemployment,unemployment-fraudulent-recovery-penalty,unemployment,replace,0.81,"sim 0.80, needs review",hold_low_confidence
/guide/unemployment/unemployment-workplace-closed-sudden-procedure,unemployment,/guide/unemployment/unemployment-substitute-payment-apply,unemployment,unemployment-short-term-parttime-apply-window,unemployment,replace_low,0.744,"sim 0.68, needs review",hold_low_confidence
/guide/unemployment/unemployment-workplace-closed-sudden-procedure,unemployment,/guide/unemployment/unemployment-separation-cert-substitute,unemployment,unemployment-separation-confirmation-dispute,unemployment,replace,0.782,"sim 0.75, needs review",hold_low_confidence
/guide/unemployment/unemployment-workplace-closed-sudden-procedure,unemployment,/guide/unemployment/unemployment-qualifying-days-calc,unemployment,unemployment-waiting-7days,unemployment,replace,0.799,"sim 0.78, needs review",hold_low_confidence
/guide/unemployment/unemployment-workplace-closed-sudden-procedure,unemployment,/guide/unemployment/unemployment-application-procedure,unemployment,unemployment-late-application-rescue,unemployment,replace,0.794,"sim 0.77, needs review",hold_low_confidence
/guide/unemployment/unemployment-workplace-closed-sudden-procedure,unemployment,/guide/unemployment/unemployment-retroactive-insurance-apply,unemployment,unemployment-employer-no-insurance,unemployment,replace_low,0.744,"sim 0.68, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-cyclist-severe-injury-liability,traffic-accident,/guide/traffic-accident/fault-ratio-calculation-guide,traffic-accident,fault-ratio-calculation-criteria,traffic-accident,replace,0.838,"replace + sim≥0.85 + repl_exists + priority, conf=0.84",round1_replace_high_confidence
/guide/traffic-accident/traffic-accident-cyclist-severe-injury-liability,traffic-accident,/guide/traffic-accident/severe-injury-settlement-calculation,traffic-accident,settlement-amount-calculation,traffic-accident,replace_low,0.744,"sim 0.68, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-cyclist-severe-injury-liability,traffic-accident,/guide/traffic-accident/permanent-disability-diagnosis-procedure,traffic-accident,,traffic-accident,hub_or_delete,0.39,"rec=delete, manual review",hold_delete
/guide/traffic-accident/traffic-accident-cyclist-severe-injury-liability,traffic-accident,/guide/traffic-accident/criminal-settlement-amount-standard,traffic-accident,settlement-amount-calculation,traffic-accident,replace_low,0.711,"sim 0.62, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-no-blackbox-proof-dispute,traffic-accident,/guide/traffic-accident/cctv-evidence-acquisition,traffic-accident,,traffic-accident,hub_or_delete,0.379,"rec=delete, manual review",hold_delete
/guide/traffic-accident/traffic-accident-no-blackbox-proof-dispute,traffic-accident,/guide/traffic-accident/fault-ratio-calculation-guide,traffic-accident,fault-ratio-calculation-criteria,traffic-accident,replace,0.838,"replace + sim≥0.85 + repl_exists + priority, conf=0.84",round1_replace_high_confidence
/guide/traffic-accident/traffic-accident-no-blackbox-proof-dispute,traffic-accident,/guide/traffic-accident/insurance-dispute-committee-apply,traffic-accident,,traffic-accident,hub_or_delete,0.357,"rec=delete, manual review",hold_delete
/guide/traffic-accident/traffic-accident-no-blackbox-proof-dispute,traffic-accident,/guide/traffic-accident/scene-response-checklist,traffic-accident,accident-settlement-checklist,traffic-accident,replace_low,0.7,"sim 0.60, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-no-blackbox-proof-dispute,traffic-accident,/guide/traffic-accident/witness-statement-template,traffic-accident,traffic-settlement-dont-agree-immediately,traffic-accident,replace_low,0.651,sim 0.51 below floor,hold_low_confidence
/guide/traffic-accident/traffic-accident-parking-lot-door-ding,traffic-accident,/guide/traffic-accident/insurance-premium-increase-standard,traffic-accident,insurance-claim-required-docs,traffic-accident,replace_low,0.645,sim 0.50 below floor,hold_low_confidence
/guide/traffic-accident/traffic-accident-parking-lot-door-ding,traffic-accident,/guide/traffic-accident/property-damage-hit-and-run-punishment,traffic-accident,,traffic-accident,hub_or_delete,0.39,"rec=delete, manual review",hold_delete
/guide/traffic-accident/traffic-accident-parking-lot-door-ding,traffic-accident,/guide/traffic-accident/settlement-agreement-template,traffic-accident,traffic-settlement-agreement-checklist,traffic-accident,replace_low,0.733,"sim 0.66, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-parking-lot-door-ding,traffic-accident,/guide/traffic-accident/parking-lot-accident-fault-ratio,traffic-accident,traffic-accident-fault-ratio-dispute,traffic-accident,replace_low,0.744,"sim 0.68, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-parking-lot-door-ding,traffic-accident,/guide/traffic-accident/cctv-evidence-acquisition,traffic-accident,,traffic-accident,hub_or_delete,0.379,"rec=delete, manual review",hold_delete
/guide/traffic-accident/traffic-accident-pet-hit-civil-claim,traffic-accident,/guide/traffic-accident/fault-ratio-calculation-guide,traffic-accident,fault-ratio-calculation-criteria,traffic-accident,replace,0.838,"replace + sim≥0.85 + repl_exists + priority, conf=0.84",round1_replace_high_confidence
/guide/traffic-accident/traffic-accident-pet-hit-civil-claim,traffic-accident,/guide/traffic-accident/pain-and-suffering-calculation,traffic-accident,traffic-accident-compensation-calculation-guide,traffic-accident,replace_low,0.673,"sim 0.55, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-pet-hit-civil-claim,traffic-accident,/guide/traffic-accident/property-damage-coverage-scope,traffic-accident,traffic-parked-car-damage-discovery,traffic-accident,replace_low,0.656,sim 0.52 below floor,hold_low_confidence
/guide/traffic-accident/traffic-accident-pet-hit-civil-claim,traffic-accident,/guide/traffic-accident/settlement-agreement-template,traffic-accident,traffic-settlement-agreement-checklist,traffic-accident,replace_low,0.733,"sim 0.66, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-pet-hit-civil-claim,traffic-accident,/guide/traffic-accident/small-claims-civil-procedure,traffic-accident,traffic-accident-criminal-civil-procedure,traffic-accident,replace_low,0.673,"sim 0.55, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-elderly-driver-fault,traffic-accident,/guide/traffic-accident/elderly-driver-license-rules,traffic-accident,traffic-accident-elderly-driver-fault,traffic-accident,replace_low,0.656,sim 0.52 below floor,hold_low_confidence
/guide/traffic-accident/traffic-accident-elderly-driver-fault,traffic-accident,/guide/traffic-accident/fault-ratio-calculation-guide,traffic-accident,fault-ratio-calculation-criteria,traffic-accident,replace,0.838,"replace + sim≥0.85 + repl_exists + priority, conf=0.84",round1_replace_high_confidence
/guide/traffic-accident/traffic-accident-elderly-driver-fault,traffic-accident,/guide/traffic-accident/criminal-settlement-amount-standard,traffic-accident,settlement-amount-calculation,traffic-accident,replace_low,0.711,"sim 0.62, needs review",hold_low_confidence
/guide/traffic-accident/traffic-accident-elderly-driver-fault,traffic-accident,/guide/traffic-accident/sudden-acceleration-proof-procedure,traffic-accident,traffic-accident-sudden-acceleration-pedal-misoperation,traffic-accident,replace_low,0.661,sim 0.53 below floor,hold_low_confidence
/guide/defamation/defamation-review-platform-malicious-removal,defamation,/guide/defamation/defamation-criminal-complaint,defamation,defamation-complaint-prep,defamation,replace,0.777,"sim 0.74, needs review",hold_low_confidence
/guide/defamation/defamation-review-platform-malicious-removal,defamation,/guide/defamation/defamation-evidence-collection,defamation,online-defamation-evidence-collection,defamation,replace,0.865,"replace + sim≥0.85 + repl_exists + priority, conf=0.86",round1_replace_high_confidence
/guide/defamation/defamation-review-platform-malicious-removal,defamation,/guide/defamation/defamation-online-post-removal,defamation,defamation-complaint-prep,defamation,replace_low,0.75,"sim 0.69, needs review",hold_low_confidence
/guide/defamation/defamation-review-platform-malicious-removal,defamation,/guide/defamation/defamation-information-network-act,defamation,defamation-online-comment-information-network-act,defamation,replace,0.821,"sim 0.82, needs review",hold_low_confidence
/guide/defamation/defamation-review-platform-malicious-removal,defamation,/guide/defamation/defamation-damages-claim,defamation,defamation-damages-amount-standard,defamation,replace,0.766,"sim 0.72, needs review",hold_low_confidence
/guide/defamation/defamation-anonymous-post-writer-identification,defamation,/guide/defamation/defamation-criminal-complaint,defamation,defamation-complaint-prep,defamation,replace,0.777,"sim 0.74, needs review",hold_low_confidence
/guide/defamation/defamation-anonymous-post-writer-identification,defamation,/guide/defamation/defamation-evidence-collection,defamation,online-defamation-evidence-collection,defamation,replace,0.865,"replace + sim≥0.85 + repl_exists + priority, conf=0.86",round1_replace_high_confidence
/guide/defamation/defamation-anonymous-post-writer-identification,defamation,/guide/defamation/defamation-cyber-response,defamation,defamation-accused-response,defamation,replace,0.838,"replace + sim≥0.85 + repl_exists + priority, conf=0.84",round1_replace_high_confidence
/guide/defamation/defamation-anonymous-post-writer-identification,defamation,/guide/defamation/defamation-information-network-act,defamation,defamation-online-comment-information-network-act,defamation,replace,0.821,"sim 0.82, needs review",hold_low_confidence
/guide/defamation/defamation-anonymous-post-writer-identification,defamation,/guide/defamation/defamation-damages-claim,defamation,defamation-damages-amount-standard,defamation,replace,0.766,"sim 0.72, needs review",hold_low_confidence
/guide/defamation/defamation-workplace-group-chat-screenshot-leak,defamation,/guide/defamation/defamation-criminal-complaint,defamation,defamation-complaint-prep,defamation,replace,0.777,"sim 0.74, needs review",hold_low_confidence
/guide/defamation/defamation-workplace-group-chat-screenshot-leak,defamation,/guide/defamation/defamation-workplace-response,defamation,defamation-workplace-rumor-response,defamation,replace,0.871,"replace + sim≥0.85 + repl_exists + priority, conf=0.87",round1_replace_high_confidence
/guide/defamation/defamation-workplace-group-chat-screenshot-leak,defamation,/guide/defamation/defamation-evidence-collection,defamation,online-defamation-evidence-collection,defamation,replace,0.865,"replace + sim≥0.85 + repl_exists + priority, conf=0.86",round1_replace_high_confidence
/guide/defamation/defamation-workplace-group-chat-screenshot-leak,defamation,/guide/defamation/defamation-vs-insult,defamation,defamation-truth-still-guilty,defamation,replace_low,0.728,"sim 0.65, needs review",hold_low_confidence
/guide/defamation/defamation-workplace-group-chat-screenshot-leak,defamation,/guide/defamation/defamation-damages-claim,defamation,defamation-damages-amount-standard,defamation,replace,0.766,"sim 0.72, needs review",hold_low_confidence
/guide/jeonse/jeonse-monthly-rent-conversion-deposit-return,jeonse,/guide/jeonse/jeonse-return-process,jeonse,deposit-return-process,jeonse,replace,0.832,"replace + sim≥0.85 + repl_exists + priority, conf=0.83",round1_replace_high_confidence
/guide/jeonse/jeonse-monthly-rent-conversion-deposit-return,jeonse,/guide/jeonse/jeonse-lease-registration-order,jeonse,lease-registration-order-process,jeonse,replace,0.788,"sim 0.76, needs review",hold_low_confidence
/guide/jeonse/jeonse-monthly-rent-conversion-deposit-return,jeonse,/guide/jeonse/jeonse-renewal-refusal-grounds,jeonse,jeonse-renewal-landlord-refusal,jeonse,replace,0.766,"sim 0.72, needs review",hold_low_confidence
/guide/jeonse/jeonse-monthly-rent-conversion-deposit-return,jeonse,/guide/jeonse/jeonse-monthly-rent-tax-deduction,jeonse,jeonse-monthly-conversion-calculation,jeonse,replace_low,0.75,"sim 0.69, needs review",hold_low_confidence
/guide/jeonse/jeonse-monthly-rent-conversion-deposit-return,jeonse,/guide/jeonse/jeonse-deposit-delay-interest,jeonse,jeonse-deposit-delay-interest-claim,jeonse,replace,0.871,"replace + sim≥0.85 + repl_exists + priority, conf=0.87",round1_replace_high_confidence
/guide/jeonse/jeonse-house-sold-new-landlord-deposit,jeonse,/guide/jeonse/jeonse-opposing-power-complete-5steps,jeonse,jeonse-deposit-priority-competing,jeonse,replace_low,0.717,"sim 0.63, needs review",hold_low_confidence
/guide/jeonse/jeonse-house-sold-new-landlord-deposit,jeonse,/guide/jeonse/jeonse-lease-registration-order,jeonse,lease-registration-order-process,jeonse,replace,0.788,"sim 0.76, needs review",hold_low_confidence
/guide/jeonse/jeonse-house-sold-new-landlord-deposit,jeonse,/guide/jeonse/jeonse-renewal-refusal-grounds,jeonse,jeonse-renewal-landlord-refusal,jeonse,replace,0.766,"sim 0.72, needs review",hold_low_confidence
/guide/jeonse/jeonse-house-sold-new-landlord-deposit,jeonse,/guide/jeonse/jeonse-hug-guarantee-requirements,jeonse,jeonse-tenant-registration-requirement,jeonse,replace_low,0.728,"sim 0.65, needs review",hold_low_confidence
/guide/jeonse/jeonse-house-sold-new-landlord-deposit,jeonse,/guide/jeonse/jeonse-return-process,jeonse,deposit-return-process,jeonse,replace,0.832,"replace + sim≥0.85 + repl_exists + priority, conf=0.83",round1_replace_high_confidence
/guide/child-support/child-support-ex-unemployed-reduction-refuse,child-support,/guide/child-support/child-support-calculation-table-use,child-support,child-support-calculation-table,child-support,replace,0.887,"replace + sim≥0.85 + repl_exists + priority, conf=0.89",round1_replace_high_confidence
/guide/child-support/child-support-ex-unemployed-reduction-refuse,child-support,/guide/child-support/child-support-overdue-name-disclosure,child-support,child-support-overdue-salary-seizure-procedure,child-support,replace_low,0.739,"sim 0.67, needs review",hold_low_confidence
/guide/stalking/stalking-ex-lover-court-approach-ban,stalking,/guide/stalking/stalking-victim-protection-application,stalking,stalking-victim-checklist,stalking,replace_low,0.739,"sim 0.67, needs review",hold_low_confidence
/guide/dismissal/dismissal-acquisition-fixed-term-rights,dismissal,/guide/dismissal/dismissal-fixed-term-expectation-evidence,dismissal,dismissal-fixed-term-non-renewal-expectation,dismissal,replace,0.782,"sim 0.75, needs review",hold_low_confidence
/guide/dismissal/dismissal-acquisition-fixed-term-rights,dismissal,/guide/dismissal/dismissal-merger-succession-dispute,dismissal,dismissal-company-merger-position-loss,dismissal,replace_low,0.717,"sim 0.63, needs review",hold_low_confidence
/guide/dismissal/dismissal-acquisition-fixed-term-rights,dismissal,/guide/dismissal/dismissal-managerial-requirements,dismissal,dismissal-maternity-return-fired,dismissal,replace_low,0.744,"sim 0.68, needs review",hold_low_confidence
/guide/dismissal/dismissal-acquisition-fixed-term-rights,dismissal,/guide/dismissal/dismissal-unemployment-benefit-apply,dismissal,dismissal-under-five-employees-relief-paths,dismissal,replace_low,0.706,"sim 0.61, needs review",hold_low_confidence
